candidate_id,expectancy_r,c011_null,beat_by,beat_by_margin_010
C025_MTX_001,-0.12536270272709554,-0.0029154071495408797,-0.12245,False
C025_MTX_002,-0.17042290014409128,-0.0029154071495408797,-0.16751,False
C025_MTX_003,-0.16168830778187493,-0.0029154071495408797,-0.15877,False
C025_MTX_004,-0.13259502729496256,-0.0029154071495408797,-0.12968,False
C025_MTX_005,-0.13179117956408978,-0.0029154071495408797,-0.12888,False
C025_MTX_006,-0.13343136720909365,-0.0029154071495408797,-0.13052,False
C025_MTX_007,-0.14970122854830786,-0.0029154071495408797,-0.14679,False
C025_MTX_008,-0.0800948809057851,-0.0029154071495408797,-0.07718,False
C025_MTX_009,-0.07673692841417351,-0.0029154071495408797,-0.07382,False
C025_MTX_010,-0.1388659096047854,-0.0029154071495408797,-0.13595,False
C025_MTX_011,-0.1097932460339954,-0.0029154071495408797,-0.10688,False
C025_MTX_012,-0.17796314639033525,-0.0029154071495408797,-0.17505,False
C025_MTX_013,-0.16915559683686282,-0.0029154071495408797,-0.16624,False
C025_MTX_014,-0.1165824365899146,-0.0029154071495408797,-0.11367,False
C025_MTX_015,-0.14908214574661052,-0.0029154071495408797,-0.14617,False
C025_MTX_016,-0.08288270979309854,-0.0029154071495408797,-0.07997,False
